track_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
67hiQr5yocRHh4fheSEzsC,0.358,0.363,0.0288,0.822,0.0,0.369,0.229
7aUuoq4oMfLxaLa5GVUDHi,0.59,0.578,0.0528,0.612,0.000162,0.0837,0.264
0OvAGGXJ5q4ZeKkJYKwSVn,0.405,0.897,0.0498,0.00144,7.17e-06,0.216,0.574
3V62hqp8AIqkSfr8Ys2lzP,0.587,0.638,0.0316,0.456,0.0,0.103,0.269
5iFUhoT6qHOn98510MXEqv,0.798,0.876,0.362,0.525,1.42e-06,0.168,0.759
4w2W5Gh1GjbbSWGF0TD2iC,0.468,0.742,0.0844,0.333,1.39e-05,0.0825,0.372
4VKVl3wR3qFpZtzWlScvx4,0.531,0.893,0.0445,0.192,0.0,0.0899,0.812
7zMJ0Pgmv9Jcx1skiTp3RV,0.702,0.689,0.221,0.152,0.0,0.0878,0.242
13gzqa9L58ZszOIqON5ZZR,0.532,0.88,0.0369,0.0207,0.919,0.0847,0.12
7vFDew7CG8VgJztv3dmgTd,0.281,0.0757,0.033,0.935,0.829,0.107,0.106
3iypHvZowqXC9DYrsz8h14,0.56,0.56,0.098,0.0413,0.0,0.231,0.688
5zl3YXkWTij4lo3kw1BAlE,0.742,0.804,0.103,0.0439,0.000473,0.133,0.49
7HaM0LcqJC89BZHgQGIjBE,0.22,0.96,0.084,0.000368,1.58e-05,0.0631,0.213
4lYZNv5EEuG2Jv0zKle5v3,0.413,0.0417,0.035,0.948,0.0,0.12,0.225
6YCCHnSCcJYWenamiJfLWh,0.344,0.248,0.0306,0.678,0.0,0.106,0.119
0pPGUL7171TRGgI6wyP8wP,0.734,0.903,0.0649,0.432,0.00569,0.2,0.712
680gfmxE9oPj43uum5USyc,0.0,2.03e-05,0.0,0.113,0.94,0.363,0.0
15SJMsBLp7GR8FH9WvamuG,0.0611,0.00543,0.0535,0.945,0.739,0.11,0.0871
44XsO9hwxTLx9rhArOcu33,0.808,0.664,0.0883,0.102,0.914,0.0671,0.215
5YtIkHosMnyhM3ZwcAnvtd,0.647,0.876,0.185,0.881,3.59e-05,0.26,0.949
07mEPA8M9EIsehueGzoHRG,0.214,0.464,0.0375,0.525,0.000103,0.371,0.291
6Jc0XoRR7DWTg3bPhEsnzO,0.932,0.523,0.235,0.00161,0.3,0.0903,0.484
4rUhsiEpM45gQvk7HdvcAY,0.721,0.605,0.192,0.00899,0.497,0.373,0.717
0489C8AQ7sbk4hnXW1mOEO,0.12,0.962,0.0606,6.08e-05,0.903,0.324,0.0908
1PnYlRz7y97T26egDekfgx,0.757,0.453,0.041,0.411,6.38e-05,0.125,0.868
4G1rzFZNDcReeg9BOpNimT,0.43,0.141,0.0286,0.757,0.000499,0.127,0.143
1OyhpS1bKbzmW5CpUxWal3,0.8,0.5,0.179,0.018,0.000199,0.115,0.776
5ENfkWyYcdGbAPdx0voB3O,0.554,0.901,0.247,0.0842,3.57e-06,0.0767,0.685
0T9jRinymApqjMFoVzw4jo,0.578,0.903,0.115,0.00585,2.42e-05,0.0619,0.238
4cK2BWcZKU8w0lF3g5lAEU,0.716,0.797,0.0405,0.00118,0.82,0.0584,0.362
1KqF8lTWSsKd4C5yINTGaH,0.694,0.523,0.117,0.651,0.0,0.0945,0.814
